lemma,reading,accent_type
ご飯,ゴハン,1
朝ご飯,アサゴハン,3
昼ご飯,ヒルゴハン,3
晩ご飯,バンゴハン,3
おにぎり,オニギリ,0
おむすび,オムスビ,0
弁当,ベントウ,3
のり弁,ノリベン,0
幕の内弁当,マクノウチベントウ,0
寿司,スシ,1
にぎり寿司,ニギリズシ,0
巻き寿司,マキズシ,3
いなり寿司,イナリズシ,0
ちらし寿司,チラシズシ,0
刺身,サシミ,0
マグロ,マグロ,0
トロ,トロ,1
タイ,タイ,1
サーモン,サーモン,1
イカ,イカ,0
タコ,タコ,0
エビ,エビ,1
アナゴ,アナゴ,0
ウニ,ウニ,1
イクラ,イクラ,1
焼き魚,ヤキザカナ,0
煮魚,ニザカナ,2
干物,ヒモノ,0
塩焼き,シオヤキ,0
照り焼き,テリヤキ,0
煮付け,ニツケ,0
天ぷら,テンプラ,0
かき揚げ,カキアゲ,0
唐揚げ,カラアゲ,0
とんかつ,トンカツ,0
メンチカツ,メンチカツ,1
コロッケ,コロッケ,0
ハンバーグ,ハンバーグ,1
焼き肉,ヤキニク,0
すき焼き,スキヤキ,0
しゃぶしゃぶ,シャブシャブ,1
焼き鳥,ヤキトリ,0
串焼き,クシヤキ,0
串カツ,クシカツ,0
親子丼,オヤコドン,0
牛丼,ギュウドン,0
天丼,テンドン,0
かつ丼,カツドン,0
海鮮丼,カイセンドン,0
カレー,カレー,0
カレーライス,カレーライス,4
ハヤシライス,ハヤシライス,0
オムライス,オムライス,4
チャーハン,チャーハン,1
ピラフ,ピラフ,1
ドリア,ドリア,1
グラタン,グラタン,0
シチュー,シチュー,1
ビーフシチュー,ビーフシチュー,1
ポトフ,ポトフ,1
スープ,スープ,1
味噌汁,ミソシル,0
豚汁,トンジル,0
けんちん汁,ケンチンジル,0
すまし汁,スマシジル,0
吸い物,スイモノ,0
雑炊,ゾウスイ,0
おかゆ,オカユ,0
うどん,ウドン,0
きつねうどん,キツネウドン,0
たぬきうどん,タヌキウドン,0
月見うどん,ツキミウドン,0
カレーうどん,カレーウドン,0
そば,ソバ,1
ざるそば,ザルソバ,0
かけそば,カケソバ,0
天ぷらそば,テンプラソバ,0
ラーメン,ラーメン,1
醤油ラーメン,ショウユラーメン,0
味噌ラーメン,ミソラーメン,0
塩ラーメン,シオラーメン,0
豚骨ラーメン,トンコツラーメン,0
つけ麺,ツケメン,0
焼きそば,ヤキソバ,0
パスタ,パスタ,1
スパゲティ,スパゲティ,0
ナポリタン,ナポリタン,0
ミートソース,ミートソース,1
ペペロンチーノ,ペペロンチーノ,0
カルボナーラ,カルボナーラ,0
ピザ,ピザ,1
トースト,トースト,1
食パン,ショクパン,0
フランスパン,フランスパン,0
ロールパン,ロールパン,0
クロワッサン,クロワッサン,0
ベーグル,ベーグル,1
サンドイッチ,サンドイッチ,3
ハンバーガー,ハンバーガー,1
ホットドッグ,ホットドッグ,1
サラダ,サラダ,0
ポテトサラダ,ポテトサラダ,0
マカロニサラダ,マカロニサラダ,0
野菜炒め,ヤサイイタメ,0
肉じゃが,ニクジャガ,0
きんぴら,キンピラ,1
ひじき煮,ヒジキニ,0
冷ややっこ,ヒヤヤッコ,0
湯豆腐,ユドウフ,2
豆腐,トウフ,0
納豆,ナットウ,0
卵焼き,タマゴヤキ,0
目玉焼き,メダマヤキ,0
ゆで卵,ユデタマゴ,0
オムレツ,オムレツ,1
茶碗蒸し,チャワンムシ,0
餃子,ギョウザ,0
春巻き,ハルマキ,0
焼売,シュウマイ,0
小籠包,ショウロンポウ,0
麻婆豆腐,マーボードウフ,0
酢豚,スブタ,0
八宝菜,ハッポウサイ,3
青椒肉絲,チンジャオロース,0
回鍋肉,ホイコーロー,0
北京ダック,ペキンダック,1
キムチ,キムチ,1
ビビンバ,ビビンバ,0
チヂミ,チヂミ,0
ナムル,ナムル,1
冷麺,レイメン,0
トッポギ,トッポギ,0
ヤンニョムチキン,ヤンニョムチキン,0
ケーキ,ケーキ,1
ショートケーキ,ショートケーキ,4
チョコレートケーキ,チョコレートケーキ,0
チーズケーキ,チーズケーキ,4
モンブラン,モンブラン,0
タルト,タルト,1
プリン,プリン,0
ゼリー,ゼリー,1
ヨーグルト,ヨーグルト,0
アイス,アイス,1
アイスクリーム,アイスクリーム,5
シャーベット,シャーベット,1
あんみつ,アンミツ,0
みたらし団子,ミタラシダンゴ,0
大福,ダイフク,0
どら焼き,ドラヤキ,0
たい焼き,タイヤキ,0
せんべい,センベイ,0
あられ,アラレ,0
ようかん,ヨウカン,0
まんじゅう,マンジュウ,0
クッキー,クッキー,1
ビスケット,ビスケット,0
チョコ,チョコ,1
ガム,ガム,1
キャラメル,キャラメル,1
キャンディー,キャンディー,0
ラムネ,ラムネ,0
ポテトチップス,ポテトチップス,0
スナック菓子,スナックガシ,0
お茶,オチャ,0
緑茶,リョクチャ,0
麦茶,ムギチャ,0
ほうじ茶,ホウジチャ,0
玄米茶,ゲンマイチャ,0
紅茶,コウチャ,1
ミルクティー,ミルクティー,1
レモンティー,レモンティー,1
ウーロン茶,ウーロンチャ,0
ジャスミン茶,ジャスミンチャ,0
コーヒー,コーヒー,3
カフェラテ,カフェラテ,0
カプチーノ,カプチーノ,0
エスプレッソ,エスプレッソ,0
ココア,ココア,1
ミルク,ミルク,1
牛乳,ギュウニュウ,0
豆乳,トウニュウ,0
ジュース,ジュース,1
オレンジジュース,オレンジジュース,0
りんごジュース,リンゴジュース,0
ぶどうジュース,ブドウジュース,0
炭酸水,タンサンスイ,0
サイダー,サイダー,1
コーラ,コーラ,1
レモネード,レモネード,0
スポーツドリンク,スポーツドリンク,0
ミネラルウォーター,ミネラルウォーター,0
水,ミズ,1
天然水,テンネンスイ,3
氷,コオリ,0
砂糖,サトウ,0
塩,シオ,2
酢,ス,1
醤油,ショウユ,0
味噌,ミソ,1
みりん,ミリン,1
酒,サケ,0
料理酒,リョウリシュ,0
酢味噌,スミソ,1
ソース,ソース,1
ケチャップ,ケチャップ,0
マヨネーズ,マヨネーズ,0
ドレッシング,ドレッシング,1
ポン酢,ポンズ,1
七味,シチミ,1
こしょう,コショウ,0
わさび,ワサビ,1
からし,カラシ,0
しょうが,ショウガ,0
にんにく,ニンニク,0
米,コメ,2
玄米,ゲンマイ,0
白米,ハクマイ,0
もち米,モチゴメ,0
小麦,コムギ,0
小麦粉,コムギコ,0
片栗粉,カタクリコ,0
米粉,コメコ,0
パン粉,パンコ,0
そば粉,ソバコ,0
うどん粉,ウドンコ,0
とうもろこし粉,トウモロコシコ,0
でんぷん,デンプン,0
きな粉,キナコ,0
黒ごま,クロゴマ,0
白ごま,シロゴマ,0
ごま油,ゴマアブラ,0
サラダ油,サラダアブラ,0
オリーブオイル,オリーブオイル,0
バター,バター,1
マーガリン,マーガリン,0
ラード,ラード,1
チーズ,チーズ,1
クリームチーズ,クリームチーズ,0
スライスチーズ,スライスチーズ,0
生クリーム,ナマクリーム,0
ホイップクリーム,ホイップクリーム,0
ジャム,ジャム,1
いちごジャム,イチゴジャム,0
マーマレード,マーマレード,0
はちみつ,ハチミツ,0
黒糖,コクトウ,0
上白糖,ジョウハクトウ,0
三温糖,サンオントウ,3
氷砂糖,コオリザトウ,0
塩こしょう,シオコショウ,0
だし,ダシ,1
かつお節,カツオブシ,0
昆布,コンブ,1
だし昆布,ダシコンブ,0
煮干し,ニボシ,0
めんつゆ,メンツユ,0
白だし,シロダシ,0
鶏がらスープ,トリガラスープ,0
コンソメ,コンソメ,0
ブイヨン,ブイヨン,0
トマト缶,トマトカン,0
ツナ缶,ツナカン,0
コーン缶,コーンカン,0
サバ缶,サバカン,0
牛肉,ギュウニク,0
豚肉,ブタニク,0
鶏肉,トリニク,0
鶏むね肉,トリムネニク,0
鶏もも肉,トリモモニク,0
ささみ,ササミ,0
ひき肉,ヒキニク,0
合いびき肉,アイビキニク,0
ベーコン,ベーコン,1
ハム,ハム,1
ソーセージ,ソーセージ,1
ウインナー,ウインナー,1
生ハム,ナマハム,0
レバー,レバー,1
砂肝,スナギモ,0
鶏皮,トリカワ,0
豚バラ肉,ブタバラニク,0
ロース肉,ロースニク,0
肩ロース,カタロース,0
ヒレ肉,ヒレニク,0
牛すじ,ギュウスジ,0
手羽先,テバサキ,0
手羽元,テバモト,0
サケ,サケ,1
サバ,サバ,1
アジ,アジ,1
イワシ,イワシ,0
サンマ,サンマ,1
ブリ,ブリ,1
ハマチ,ハマチ,0
カンパチ,カンパチ,0
カツオ,カツオ,0
シラス,シラス,1
ししゃも,シシャモ,0
ホッケ,ホッケ,1
タラ,タラ,1
カレイ,カレイ,0
ヒラメ,ヒラメ,0
フグ,フグ,1
アワビ,アワビ,0
サザエ,サザエ,0
ハマグリ,ハマグリ,0
アサリ,アサリ,0
シジミ,シジミ,0
ホタテ,ホタテ,0
カキ,カキ,0
ムール貝,ムールガイ,0
昆虫食,コンチュウショク,0
卵,タマゴ,2
うずら卵,ウズラタマゴ,0
温泉卵,オンセンタマゴ,0
生卵,ナマタマゴ,0
半熟卵,ハンジュクタマゴ,0
キャベツ,キャベツ,1
レタス,レタス,1
白菜,ハクサイ,0
小松菜,コマツナ,0
ほうれん草,ホウレンソウ,3
春菊,シュンギク,0
水菜,ミズナ,0
チンゲンサイ,チンゲンサイ,0
ねぎ,ネギ,1
長ねぎ,ナガネギ,0
玉ねぎ,タマネギ,0
紫玉ねぎ,ムラサキタマネギ,0
にら,ニラ,1
もやし,モヤシ,0
ブロッコリー,ブロッコリー,0
カリフラワー,カリフラワー,0
アスパラガス,アスパラガス,0
セロリ,セロリ,1
パセリ,パセリ,1
しそ,シソ,1
大葉,オオバ,0
みょうが,ミョウガ,0
パクチー,パクチー,0
バジル,バジル,1
ローズマリー,ローズマリー,0
トマト,トマト,0
ミニトマト,ミニトマト,0
きゅうり,キュウリ,1
なす,ナス,1
ピーマン,ピーマン,1
パプリカ,パプリカ,0
ししとう,シシトウ,0
かぼちゃ,カボチャ,0
ズッキーニ,ズッキーニ,0
ゴーヤー,ゴーヤー,0
オクラ,オクラ,1
さやいんげん,サヤインゲン,0
枝豆,エダマメ,0
そら豆,ソラマメ,0
グリーンピース,グリーンピース,0
じゃがいも,ジャガイモ,0
さつまいも,サツマイモ,0
里芋,サトイモ,0
長芋,ナガイモ,0
山芋,ヤマイモ,0
にんじん,ニンジン,0
大根,ダイコン,0
かぶ,カブ,1
れんこん,レンコン,0
ごぼう,ゴボウ,0
たけのこ,タケノコ,0
きのこ,キノコ,0
しいたけ,シイタケ,0
しめじ,シメジ,0
えのき,エノキ,1
まいたけ,マイタケ,0
エリンギ,エリンギ,0
マッシュルーム,マッシュルーム,0
松茸,マツタケ,0
りんご,リンゴ,0
青りんご,アオリンゴ,0
みかん,ミカン,1
オレンジ,オレンジ,0
グレープフルーツ,グレープフルーツ,0
レモン,レモン,1
ライム,ライム,1
ゆず,ユズ,1
すだち,スダチ,0
かぼす,カボス,0
いちご,イチゴ,0
さくらんぼ,サクランボ,0
ぶどう,ブドウ,1
巨峰,キョホウ,0
シャインマスカット,シャインマスカット,0
もも,モモ,0
すもも,スモモ,0
なし,ナシ,0
洋なし,ヨウナシ,0
柿,カキ,0
びわ,ビワ,1
いちじく,イチジク,0
栗,クリ,1
くるみ,クルミ,0
ぎんなん,ギンナン,0
バナナ,バナナ,0
パイナップル,パイナップル,0
キウイ,キウイ,1
マンゴー,マンゴー,0
パパイヤ,パパイヤ,0
アボカド,アボカド,0
ドラゴンフルーツ,ドラゴンフルーツ,0
スイカ,スイカ,0
メロン,メロン,0
いぬ,イヌ,2
こいぬ,コイヌ,0
ねこ,ネコ,1
こねこ,コネコ,0
うさぎ,ウサギ,0
ハムスター,ハムスター,0
モルモット,モルモット,0
フェレット,フェレット,0
リス,リス,1
たぬき,タヌキ,0
きつね,キツネ,0
オオカミ,オオカミ,0
クマ,クマ,1
シカ,シカ,1
イノシシ,イノシシ,0
サル,サル,0
ゴリラ,ゴリラ,1
チンパンジー,チンパンジー,0
ゾウ,ゾウ,1
キリン,キリン,0
カバ,カバ,1
サイ,サイ,1
ライオン,ライオン,0
トラ,トラ,1
ヒョウ,ヒョウ,1
チーター,チーター,1
パンダ,パンダ,1
コアラ,コアラ,1
ラクダ,ラクダ,0
シマウマ,シマウマ,0
カンガルー,カンガルー,0
ラッコ,ラッコ,1
アザラシ,アザラシ,0
イルカ,イルカ,0
クジラ,クジラ,0
シャチ,シャチ,1
ペンギン,ペンギン,0
ニワトリ,ニワトリ,0
ひよこ,ヒヨコ,0
スズメ,スズメ,0
ハト,ハト,1
カラス,カラス,0
ツバメ,ツバメ,0
ウグイス,ウグイス,0
カモメ,カモメ,0
ワシ,ワシ,1
タカ,タカ,0
フクロウ,フクロウ,0
インコ,インコ,0
オウム,オウム,1
カナリア,カナリア,0
メダカ,メダカ,0
金魚,キンギョ,1
鯉,コイ,1
熱帯魚,ネッタイギョ,0
カメ,カメ,1
トカゲ,トカゲ,0
ヘビ,ヘビ,1
カエル,カエル,1
ヤモリ,ヤモリ,0
イモリ,イモリ,0
カブトムシ,カブトムシ,0
クワガタ,クワガタ,0
チョウ,チョウ,1
ガ,ガ,1
トンボ,トンボ,0
セミ,セミ,1
カマキリ,カマキリ,0
てんとう虫,テントウムシ,0
アリ,アリ,1
ハチ,ハチ,1
クモ,クモ,1
バッタ,バッタ,0
コオロギ,コオロギ,0
花,ハナ,2
桜,サクラ,0
梅,ウメ,0
桃,モモ,0
菊,キク,0
百合,ユリ,0
ひまわり,ヒマワリ,0
あじさい,アジサイ,0
たんぽぽ,タンポポ,0
すみれ,スミレ,0
つばき,ツバキ,0
コスモス,コスモス,0
バラ,バラ,1
チューリップ,チューリップ,0
胡蝶蘭,コチョウラン,0
木,キ,1
松,マツ,1
杉,スギ,0
檜,ヒノキ,0
竹,タケ,2
笹,ササ,1
楓,カエデ,0
銀杏,イチョウ,0
椿,ツバキ,0
柳,ヤナギ,0
葉,ハ,1
枝,エダ,0
